case,sample,target_removed_fraction,node_relerr_vs_ref,VI_bits_vs_ref,top1_absdiff_vs_ref,gini_absdiff_vs_ref
eps_rescue_high_soft_early,alzheimers,0.1,0.0025214446394581365,0.015115232112094645,0.0001779557335112869,0.002153484417369622
eps_rescue_high_soft_early,alzheimers,0.2,0.005269944497393059,0.08669696662570203,0.004871538204871545,0.003481246378074898
eps_rescue_high_soft_early,alzheimers,0.4,0.017049081828082166,0.41312734439518906,0.02664887109331554,0.006301289394668563
eps_rescue_high_soft_early,alzheimers,0.55,0.008324194995513907,0.9715503819661713,0.03003003003003002,0.0007240147549032461
eps_rescue_high_soft_early,gbm_reference_addon,0.05,0.0010339390492930443,0.012118977495138239,0.00044023772837332303,0.0009131247250848684
eps_rescue_high_soft_early,gbm_reference_addon,0.1,0.002582083061535116,0.02709163077239296,0.0007337295472888694,0.002157167696699158
eps_rescue_high_soft_early,gbm_reference_addon,0.2,0.005393743257820928,0.08064183459770291,0.005869836378310955,0.0036435005769324125
eps_rescue_high_soft_early,gbm_reference_addon,0.4,0.017136014534643654,0.6073812974687947,0.017389390270746208,0.00754707991021597
eps_rescue_high_soft_early,gbm_reference_addon,0.55,0.008494547048829945,1.1295034683107232,0.01824540807591657,0.0013326580521684228
epsilon_ceiling,healthy_reference,0.05,0.0,0.0,0.0,0.0
epsilon_ceiling,healthy_reference,0.1,0.0,0.0,0.0,0.0
epsilon_ceiling,healthy_reference,0.2,0.0,0.0,0.0,0.0
epsilon_ceiling,healthy_reference,0.4,0.0,0.0,0.0,0.0
epsilon_ceiling,healthy_reference,0.55,0.0,0.0,0.0,0.0
epsilon_ceiling,alzheimers,0.05,0.0,0.0,0.0,0.0
epsilon_ceiling,alzheimers,0.1,0.0,0.0,0.0,0.0
epsilon_ceiling,alzheimers,0.2,0.0,0.0,0.0,0.0
epsilon_ceiling,alzheimers,0.4,0.0,0.0,0.0,0.0
epsilon_ceiling,alzheimers,0.55,0.0,0.0,0.0,0.0
epsilon_ceiling,gbm_reference_addon,0.05,0.0,0.0,0.0,0.0
epsilon_ceiling,gbm_reference_addon,0.1,0.0,0.0,0.0,0.0
